Items,Type,Status,Project Type,Project #,Governance Framework,Project WO #s,Project Manager,PM Region,Project Status,Budget Type,Program,CY Actuals,CY Rem Fcst,Remaining Contingency,CY Tot EAC,CY Tot Fcst 3+9 Baseline,CY Tot EAC vs 3+9 Base Value,CY Tot EAC vs 3+9 Base Indicator,CY Budget Year Amount,CY Budget Adjustment,CY Bud incl Adj,CY Variance with Adjustments Value,CY Variance with Adjustments Indicator,Variance Explanation AFE vs CY Budget,Full or Phase 1 AFE,Phase 2 AFE,Supplemental AFE Amount,Total Approved AFE,AFE Stage,Total Requested AFE,Inception to Date Actuals,Project Rem Fcst,Project EAC,Supplemental AFE Required? Value,Supplemental AFE Required? Indicator,Cash Flow Start (Fcst),Full or Phase 1 AFE Approved Date,Full or Phase 1 AFE Approved Date P/D,Baseline Operational Date,Operational Date,AFE Past Due Days Value,AFE Past Due Days Indicator,CY 01 Jan Act,CY 02 Feb Act,CY 02 Feb Fcst,CY 02 Feb Fcst (asOf Cut-off),CY 02 Feb Var Value,CY 02 Feb Var Indicator,IT - Accruals,Monthly Variance Explanation,CY 03 Mar Fcst,CY 04 Apr Fcst,CY 05 May Fcst,CY 06 Jun Fcst,CY 07 Jul Fcst,CY 08 Aug Fcst,CY 09 Sep Fcst,CY 10 Oct Fcst,CY 11 Nov Fcst,CY 12 Dec Fcst,Remaining Contingency2,Project Status Notes,Project Status Notes Updated On,Financial Forecast Notes,PCA,PM Designate,PMO-Region,PMO-Division,Financial Reporting Category 2022,Financial Reporting Category 2022 Override,PMO-Asset Team,PMO-Location Business Unit,Parent Project Number,CY Q1 EAC,CY Q2 EAC,CY Q3 EAC,CY Q4 EAC,CY-1 Tot Act,CY+1 Tot Fcst,Program Manager,Project Sponsor,WS Drawdown Class,JV SubProgram,IT Count,OPPM Project Item ID,RCAP Financial Model,Created By,Parent / Child Value,Parent / Child Indicator,Creation Date,Maintenance Reporting Categories
LN603ZG - Like and Similar (Due 05-17-22),Item,Open,MCAP,LN603FZM2201,Maintenance Framework,1945782,"Garcia, Francisco",ECS Pipeline Integrity,3. Active,Defined,Pipeline Digs,56684,1102000,,1158683.81,1158684,0,Green,,,,1158684,,,32000,1070000,,1102000,Full,1102000,96239,1102000,1198239,No,Green,5/1/2022,2/3/2022,2/3/2022,7/1/2022,7/1/2023,,,54326.9,2356.91,0,0,2357,Red,0,,0,325000,407000,370000,,,,,,,,"1/03/2023 - project recently added to scorecard.. Kiely accrual didn't payout from previous PM entry.
12/9/2022 - Work rescheduled to Feb 23 due to transition of PMs. DC


11/2/2022 NAV- Work delayed due to permitting.


5/6/22 - $10k permitting support estimated for May 22 KB
3/4/2022 - This project has been pushed back later in the year due to environmental permitting.",1/30/2023,2/7/22 - No change,"Williams, Nikole",,East,Pipelines and Terminals,Integrity,,Linden,LN603FZ - LINDEN TO FLEM VALVE -16IN,,56684,1102000,,,39555,,"Bartal, Nick","Guenther, Steve",,,1,42482,,"Guest, ProSight",Independent,Aqua,11/22/2021,Int - Accel Digs
160L MP 77.59 B- Sleeve Install at F-402.37,Item,Open,MCAP,AS160HTM2201,Exempt,2036061,"Gabriel, Jeff",West,6. Operational,Emergent,Pipeline Digs,4787,,,4786.69,4787,0,Green,,,,4787,,,39000,,,39000,Full,39000,27691,,27691,No,Green,11/1/2022,11/29/2022,11/29/2022,11/30/2022,12/31/2022,,,4580.56,206.13,,,206,Red,0,,,,,,,,,,,,,"1/3/2023- Work Complete all invoices have hit. 


12/2/2022- Work Complete need to accrue 22,018 Vance",1/4/2023,,"Hill, Elizabeth",,West,Pipelines and Terminals,Integrity,,Central-Illinois,AS160HT - AUBURN TO HARRISTOWN JCT,,4787,,,,22904,,"Bartal, Nick","Bartal, Nick",,,1,46242,,"Gardner, Travis",Independent,Aqua,11/17/2022,Int- Planned Digs
2022 EW913LD - P-0122485 Anomaly Dig,Item,Open,MCAP,EW913RWM2203,Maintenance Framework,2053900,"Keppel, Nicholas",East,3. Active,Emergent,Pipeline Digs,122011,30000,,152010.57,152011,0,Green,,,,152011,,,194000,,,194000,Interim,194000,122011,30000,152011,No,Green,1/1/2023,2/3/2023,2/3/2023,1/31/2023,1/31/2023,,,97457.38,24553.19,10000,10000,14553,Red,0,,30000,,,,,,,,,,,3/3/2023 - Work completed in January 2023; minor costs still anticipated (and forecasted) for Q1 2023,3/3/2023,,"Sautter, Maureen",,East,Pipelines and Terminals,Integrity,,Jet Lines,EW913RW - NEW HAVEN TO MIDDLETOWN JCT,,152011,,,,,,"Bartal, Nick","Orischak, Bob",,,1,46399,,"Perry, Betty",Independent,Aqua,12/21/2022,Int- Planned Digs
2022 Seam Susceptibility and Fatigue,Item,Open,MEXP,1348250E2224,Exempt,1916958,"Hurley, Brian",Asset Integrity,6. Operational,Drawdown,Pipeline Digs,103,,,103,103,0,Green,,,,103,,,200000,,,200000,Full,200000,214074,,214074,No,Green,2/1/2022,12/22/2021,12/22/2021,12/31/2022,12/31/2022,,,103,,,,,,0,,,,,,,,,,,,,"12/9/22 - Work in process, will be accrued in 2022. 10/7/22 - reforecast variance, awaiting invoices. 9/12/22 - reforecast variance, awaiting invoices. 7/12/22 - Additional scope completed in June. 6/8/22 - reduced forecast to offset May variance. 5/9/22 - Reforecast April variance. 4/8/22 - no change. 3/8/22 - Reforecast Feb variance later in year",12/9/2022,2/7/22 - Reforecast Jan variance,"Schultz, Amy",,Corporate  - Pipes and Terminals,Pipelines and Terminals,Pipeline Integrity,,Corporate,Corporate,,103,,,,213971,,"Bartal, Nick","Shook, Mark B.",,,1,40982,,"Administrator, System",Independent,Aqua,8/4/2021,Int- Planned Digs
2023 Annual Criteria Digs - LA401CB-1,Item,Open,MCAP,LA401ELM2301,Maintenance Framework,2094150,"Melcer, Paul",ECS Pipeline Integrity,3. Active,Defined,Pipeline Digs,,170000,,170000,170000,0,Green,170000,,170000,0,,,198050,,,198050,Full,198050,,170000,170000,No,Green,8/1/2023,3/7/2023,3/7/2023,12/31/2023,8/31/2023,,,,,,,,,,,,,,,,170000,,,,,,,,,"Williams, Nikole",,West,Pipelines and Terminals,Integrity,,Lima Pipelines,LA401EL - LIMA TO ELLIOTT,,0,,170000,,,,"Bartal, Nick","Bartal, Nick",,,1,44921,,"Administrator, System",Independent,Aqua,8/17/2022,Int- Planned Digs
2023 Annual Criteria Digs - LA410-411-414DS-1,Item,Open,MCAP,LA410FJM2301,Maintenance Framework,2094889,"Melcer, Paul",ECS Pipeline Integrity,3. Active,Defined,Pipeline Digs,,170000,,170000,170000,0,Green,170000,,170000,0,,,198050,,,198050,Full,198050,,170000,170000,No,Green,9/1/2023,3/12/2023,3/12/2023,12/31/2023,9/30/2023,,,,,,,,,,,,,,,,,170000,,,,,,,,"Williams, Nikole",,West,Pipelines and Terminals,Integrity,,Lima Pipelines,LA410FJ - LIMA-FINDLAY JCT#9&#11-12IN,,0,,170000,,,,"Bartal, Nick","Bartal, Nick",,,1,44924,,"Administrator, System",Independent,Aqua,8/17/2022,Int- Planned Digs
2023 Annual Criteria Digs - RD401IL,Item,Open,MCAP,RD401CBM2301,Maintenance Framework,,"Melcer, Paul",ECS Pipeline Integrity,2. Pending AFE,Defined,Pipeline Digs,,610000,,610000,610000,0,Green,610000,,610000,0,,,683200,,,,Phase,683200,,610000,610000,No,Green,7/1/2023,,,12/31/2023,7/31/2023,,,,,,,,,,,,,,,300000,310000,,,,,,,,,"Williams, Nikole",,West,Pipelines and Terminals,Integrity,,Lima Pipelines,RD401CB - HILLIARDS TO COLUMBUS,,0,,610000,,,,"Bartal, Nick","Bartal, Nick",,,1,44922,,"Administrator, System",Independent,Aqua,8/17/2022,Int- Planned Digs
2023 Annual Criteria Digs - UG761NB,Item,Open,MCAP,XX761NBM2301,Maintenance Framework,,"Melcer, Paul",ECS Pipeline Integrity,2. Pending AFE,Defined,Pipeline Digs,,440000,,440000,440000,0,Green,440000,,440000,0,,,512600,,,512600,Full,512600,,440000,440000,No,Green,5/1/2023,2/6/2023,2/6/2023,8/31/2023,8/31/2023,,,,,,,,,,,,,200000,240000,,,,,,,,,,,"Williams, Nikole",,West,Pipelines and Terminals,Integrity,,Sugar Creek,XX761NB - MO S/L TO COUNCIL BLUFFS,,0,440000,,,,,"Bartal, Nick","Bartal, Nick",,,1,44927,,"Administrator, System",Independent,Aqua,8/17/2022,Int- Planned Digs
2023 Annual Criteria Digs - WF208WB,Item,Open,MCAP,WF208WBM2301,Maintenance Framework,2093971,"Melcer, Paul",ECS Pipeline Integrity,2. Pending AFE,Defined,Pipeline Digs,,330000,,330000,330000,0,Green,330000,,330000,0,,,,,,,Interim,,,330000,330000,No,Green,8/1/2023,,,,9/30/2023,,,,,,,,,,,,,,,,175000,155000,,,,,,,,,,West,Pipelines and Terminals,Integrity,,Wayne Pipeline,WF208WB - FLINT TO BAY CITY,,0,,330000,,,,"Bartal, Nick","Bartal, Nick",,,1,44918,,"Administrator, System",Independent,Aqua,8/17/2022,Int- Planned Digs
2023 Annual Criteria Digs - WO165ZI,Item,Open,MCAP,WO165EFM2301,Maintenance Framework,,"Melcer, Paul",ECS Pipeline Integrity,2. Pending AFE,Defined,Pipeline Digs,,375000,,375000,375000,0,Green,375000,,375000,0,,,420000,,,,Full,420000,,375000,375000,No,Green,7/1/2023,,,12/31/2023,9/30/2023,,,,,,,,,,,,,,,200000,175000,,,,,,"2-13-23 Dig have been issued.  Developing project now.

1-10-23 Digs have not been issued yet",2/13/2023,,"Williams, Nikole",,West,Pipelines and Terminals,Integrity,,St. Louis,WO165EF - WOOD RIVER TO EFFINGHAM,,0,,375000,,,,"Bartal, Nick","Bartal, Nick",,,1,44916,,"Administrator, System",Independent,Aqua,8/18/2022,Int- Planned Digs
2023 Annual Criteria Digs - WW203WF-1,Item,Open,MCAP,WW203WCM2301,Maintenance Framework,,"Melcer, Paul",ECS Pipeline Integrity,2. Pending AFE,Defined,Pipeline Digs,,190000,,190000,190000,0,Green,190000,,190000,0,,,221350,,,,Full,221350,,190000,190000,No,Green,5/1/2023,,,12/31/2023,10/31/2023,,,,,,,,,,,,,95000,95000,,,,,,,,,,,"Williams, Nikole",,West,Pipelines and Terminals,Integrity,Integrity,Wayne Pipeline,WW203WC - WAYNE TO CLARKSTON,,0,190000,,,,,"Bartal, Nick","Bartal, Nick",,,1,44917,,"Administrator, System",Independent,Aqua,8/18/2022,Int- Planned Digs
2023 Annual Criteria Digs - XB403CL,Item,Open,MCAP,XB403CLM2301,Maintenance Framework,2083189,"Cullison, Daniel",West,3. Active,Drawdown,Pipeline Digs,,72059,,72059,72059,0,Green,100000,,100000,-27941,,,72059,,,72059,Full,72059,,72059,72059,No,Green,,3/1/2023,3/1/2023,4/15/2023,7/31/2023,,,,,,,,,,,72059,,,,,,,,,,,"2/27/23:
Quotes have been received from GC, inspection, and NDT contractor.  The project has been set up in OPPM, ISN, and a Raken project has been created.  An AFE was submitted on 2/23/23.  Once the AFE is approved, POs will be submitted.",2/27/2023,,"Griest, Barbara",,West,Pipelines and Terminals,Integrity,,Indianapolis,,,72059,,,,,,"Bartal, Nick","Bartal, Nick",,,1,44923,,"Administrator, System",Independent,Aqua,8/17/2022,Int- Planned Digs
2023 Annual Criteria Digs - ZG701JC,Item,Open,MCAP,,Maintenance Framework,,"Bartal, Nick",,1. Proposed,,Pipeline Digs,,900000,,900000,900000,0,Green,900000,,900000,0,,,,,,,,,,900000,900000,No,Green,5/1/2023,,,,7/31/2023,,,,,,,,,,,,,300000,300000,300000,,,,,,,,,,,,East,Pipelines and Terminals,Integrity,,Corporate,Corporate,,0,600000,300000,,,,"Bartal, Nick",,,,1,44925,,"Administrator, System",Independent,Aqua,8/17/2022,Int- Planned Digs
2023 Annual Criteria Digs - ZG714SN,Item,Open,MCAP,,Maintenance Framework,,"Bartal, Nick",,1. Proposed,,Pipeline Digs,,375000,,375000,375000,0,Green,375000,,375000,0,,,,,,,,,,375000,375000,No,Green,7/1/2023,,,,8/31/2023,,,,,,,,,,,,,,,100000,275000,,,,,,,,,,,East,Pipelines and Terminals,Integrity,,Corporate,Corporate,,0,,375000,,,,"Bartal, Nick",,,,1,44926,,"Administrator, System",Independent,Aqua,8/17/2022,Int- Planned Digs
2023 MCAP Def_Mloss Budget Allocation,Item,Open,MCAP,,Maintenance Framework,,"Bartal, Nick",,1. Proposed,,Pipeline Digs,,18000000,,18000000,18000000,0,Green,30700000,,30700000,-12700000,,,,,,,,,,18000000,18000000,No,Green,4/1/2023,,,,12/31/2023,,,,,0,0,0,Green,,,0,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,,"3/7/23 - reduced by $733k to cover L718 immediate digs and L402 UCD digs. 2/9/23 - reduced as follows (total of $8.717MM): 
$3.5MM - L751 digs
$2.0MM - L601 digs
$1.9MM - L163 digs
$540k - L601 cutouts
$402k - L701 cutouts
$188k - L718 cutouts
$77k - L751 immediate digs
$55k - L700 cutouts
$55k - L603 like and similar
Had previously reduced by $3.25MM to cover L601, L402, and L163 digs",3/7/2023,,,,Corporate  - Pipes and Terminals,Pipelines and Terminals,Integrity,,Corporate,Corporate,,0,6000000,6000000,6000000,,,"Bartal, Nick",,,,1,44914,,"Administrator, System",Independent,Aqua,8/17/2022,Int- Planned Digs
2023 MCAP Seam Budget Allocation,Item,Open,MCAP,,Maintenance Framework,,"Bartal, Nick",,1. Proposed,,Pipeline Digs,,1200000,,1200000,1200000,0,Green,4000000,,4000000,-2800000,,,,,,,,,,1200000,1200000,No,Green,5/1/2023,,,,12/31/2023,,,,,0,0,0,Green,,,0,0,150000,150000,150000,150000,150000,150000,150000,150000,,3/7/23 - Reduced by $1.87MM to cover L203 issued digs. 2/9/23 - reduced by $600k to cover L714 digs and $90k to cover L714 cutout costs,3/8/2023,,,,Corporate  - Pipes and Terminals,Pipelines and Terminals,Integrity,,Corporate,Corporate,,0,300000,450000,450000,,,"Bartal, Nick",,,,1,44915,,"Administrator, System",Independent,Aqua,8/17/2022,Int- Planned Digs
2023 MEXP Budget Allocation - Def_Mloss,Item,Open,MEXP,1348250E2303,Maintenance Framework,,"Bartal, Nick",Asset Integrity,3. Active,Defined,Pipeline Digs,,1907000,,1907000,1907000,0,Green,2500000,,2500000,-593000,,,2500000,,,2500000,Full,2500000,,1907000,1907000,No,Green,4/1/2023,12/20/2022,12/20/2022,12/31/2023,12/31/2023,,,,,0,0,0,Green,,,0,510000,417000,210000,220000,110000,110000,110000,110000,110000,,"3.7.23 - March MEXP Flips $693,402. Reduced March Forecast by this amount (AS)

1/9/23 - Jan flips were back-dated to Dec by Accounting. Redistributed Jan forecast in Q1/Q2",3/7/2023,,"Schultz, Amy",,Corporate  - Pipes and Terminals,Pipelines and Terminals,Pipeline Integrity,,Corporate,Corporate,,0,1137000,440000,330000,,,"Bartal, Nick","Shook, Mark B.",,,1,45208,,"Administrator, System",JDE Parent,Yellow,8/23/2022,Int- Planned Digs
2023 MEXP Budget Allocation - Seam,Item,Open,MEXP,1348250E2302,Maintenance Framework,,"Bartal, Nick",Corporate,3. Active,Defined,Pipeline Digs,,300000,,300000,300000,0,Green,300000,,300000,0,,,300000,,,300000,Full,300000,,300000,300000,No,Green,4/1/2023,12/19/2022,12/19/2022,12/31/2023,12/31/2023,,,,,0,0,0,Green,,,,50000,50000,50000,25000,25000,25000,25000,25000,25000,,"3/7/23 - no budget allocaiton utilized yet, pushed forecast out. 2/7/23 - No budget allocation utilized yet; pushed forecast out",3/7/2023,,"Schultz, Amy",,Corporate  - Pipes and Terminals,Pipelines and Terminals,Pipeline Integrity,Pipeline Integrity,Corporate,Corporate,,0,150000,75000,75000,,,"Bartal, Nick","Shook, Mark B.",,,1,45209,,"Administrator, System",JDE Parent,Yellow,8/23/2022,Int- Planned Digs
2023 New HCA Digs Budget Allocation,Item,Open,MCAP,,Maintenance Framework,,"Bartal, Nick",,1. Proposed,,Pipeline Digs,,300000,,300000,300000,0,Green,300000,,300000,0,,,,,,,,,,300000,300000,No,Green,8/1/2023,,,,10/31/2023,,,,,,,,,,,,,,,,100000,100000,100000,,,,,,,,,Corporate  - Pipes and Terminals,Pipelines and Terminals,Integrity,,Corporate,Corporate,,0,,200000,100000,,,"Bartal, Nick",,,,1,44928,,"Administrator, System",Independent,Aqua,8/17/2022,Int- Planned Digs
714L Lab Analysis,Item,Open,MEXP,ZG714RGE2302,Maintenance Framework,2077110,"Bartal, Nick",Asset Integrity,3. Active,Drawdown,Pipeline Digs,,43386,,43386,43386,0,Green,,,,43386,,,43386,,,43386,Full,43386,,43386,43386,No,Green,,1/31/2023,1/31/2023,3/31/2023,3/31/2023,,,,,,,,,,,43386,,,,,,,,,,,,,,"Schultz, Amy",,East,Pipelines and Terminals,Pipeline Integrity,,Macungie Pipe,ZG714RG - MACUNGIE TO TUCKERTON,,43386,,,,,,"Bartal, Nick","Shook, Mark B.",N/A,,1,46564,,"Schultz, Amy",JDE Child,Burnt Orange,1/31/2023,Int- Planned Digs
AB802CY - 2022 Buckeye Criteria Digs,Item,Open,MCAP,DJ802ZRM2202,Maintenance Framework,1989695,"Keppel, Nicholas",East,6. Operational,Defined,Pipeline Digs,18349,,,18348.74,18349,0,Green,,,,18349,,,241000,,,241000,Full,241000,197144,,197144,No,Green,10/1/2022,6/7/2022,6/7/2022,11/30/2022,12/31/2022,,,17677.01,671.73,,,672,Red,0,,,,,,,,,,,,,2/2/2022-Trailing invoice from December 2022. 1/5/2023 - Project completed in December 2022; variance due to additional days spent pumping water out of work area due to recent precipitation,2/2/2023,2/7/22 - No change,"Sautter, Maureen",,East,Pipelines and Terminals,Integrity,,Auburn Pipeline,AB - AUBURN STATION,,18349,,,,178796,,"Bartal, Nick","Bartal, Nick",,,1,40997,,"Administrator, System",Independent,Aqua,8/4/2021,Int- Planned Digs
AB802CY - Digs from 2022 GEO+MFL ILI,Item,Open,MCAP,LP802SJM2201,Exempt,2045139,"Keppel, Nicholas",East,6. Operational,Defined,Pipeline Digs,89321,,,89321.4,89321,0,Green,,,,89321,,,204000,,,204000,Full,204000,89321,,89321,No,Green,1/1/2023,11/17/2022,11/17/2022,1/31/2023,12/31/2022,,,82526.64,6794.76,,,6795,Red,0,,,,,,,,,,,,,2/2/2023 - Work completed in January 2023,2/2/2023,"2/7/22 - No change, awaiting digs to be issued","Sautter, Maureen",,East,Pipelines and Terminals,Integrity,,Auburn Pipeline,LP802SJ - LIVERPOOL TO SYRACUSE JCT,,89321,,,,,,"Bartal, Nick","Bartal, Nick",,,1,41015,,"Administrator, System",Independent,Aqua,8/4/2021,Int- Planned Digs
AG160DN Immediate Digs 2022,Item,Open,MCAP,AG160DNM2201,Maintenance Framework,2022711,"Kosior, Albert",ECS Pipeline Integrity,6. Operational,Defined,Pipeline Digs,-26062,,,-26062.22,-26062,0,Green,,,,-26062,,Other,234000,,,234000,Full,234000,230495,,230495,No,Green,9/1/2022,10/18/2022,10/18/2022,9/23/2022,11/7/2022,,,-26062.22,,,,,,0,,,,,,,,,,,,,"1/10/22 - Inspection charges from 160 cut outs charged to this project reclass submitted
11-6-22 Working closeout, managing waste spoils disposal.
10-10-22 Dig was completed last month, working restoration work and spoils disposal.  Dig was more complicated due to it being located under the concrete curb of a gas station along Rte. 83.  There was also a large storm water pipe over the pipeline that had to be removed to access the anomaly feature.",1/10/2023,,"Hill, Elizabeth",,West,Pipelines and Terminals,Integrity,,Argo,AG160DN - ARGO TO DES PLAINES,,-26062,,,,256558,,"Bartal, Nick","Bartal, Nick",,,1,45833,,"Schultz, Amy",Independent,Aqua,9/13/2022,Int- Planned Digs
BB999A3 METALLURGICAL ANALYSIS,Item,Open,MEXP,BB999A3E2202,Maintenance Framework,2051855,"Bartal, Nick",East,3. Active,Drawdown,Pipeline Digs,12500,,,12500,12500,0,Green,,,,12500,,,17500,,,17500,Full,17500,17500,,17500,No,Green,12/1/2022,12/9/2022,12/9/2022,2/28/2023,2/28/2023,,,0,12500,8750,8750,3750,Red,0,Other,,,,,,,,,,,,"3.2.23 - Accrual $17,500 (AS)

2/7/23 - lab work still in process - forecast moved to Feb. 1/9/23 - Work began and accrued in Dec",3/2/2023,,"Schultz, Amy",,East,Pipelines and Terminals,Pipeline Integrity,,Jet Lines,BB999A3 - BOOSTER #3 TO GULF,,12500,,,,5000,,"Bartal, Nick","Shook, Mark B.",N/A,,1,46346,,"Schultz, Amy",JDE Child,Burnt Orange,12/9/2022,Int- Planned Digs
CG415GE - 2022 Buckeye Criteria Digs,Item,Open,MCAP,CG415BJM2202,Maintenance Framework,2003374,"Burns, Richard",West,7. Closed,Defined,Pipeline Digs,383,,,383.38,383,0,Green,,,,383,,,261000,,,261000,Full,261000,243454,,243454,No,Green,8/1/2022,7/19/2022,7/19/2022,12/31/2022,8/29/2022,,,383.38,,,,,,0,,,,,,,,,,,,,"2/1/23 - moved back to closed.
1/17/23 - moved back to operational, since Acct. added in a re-class cost in December, after 1/3/23.
1/3/23 - closed by PM.
12/2/22 - Ready to close.
11/1/22 - variance is Percheron invoices.
10/3/22 - variance is last month accrual vs. actual invoice ($1370), payroll, ($1203) Third party/PPS ($81), p-card ($15), and Percheron ($8076).
 (9/7/22 - Job book submitted & complete on 9/6/22. Ready to close other than post job evaluation.
9/1/22 - variance is accrued. Overage is from forecasting was conservative; last dig required a 54' B-sleeve adding a week to the schedule.
8/31/22 - all 3 digs completed on 8/29/22.
7/20/22 - digs to start end of July.
7/5/22 - Switched over digs from Ryan Taylor to Rich.  He volunteered to take them.",2/1/2023,2/7/22 - No change,"Griest, Barbara",,West,Pipelines and Terminals,Integrity,,Toledo,CG415BJ - CYGNET TO BELLEVUE-#1-E,,383,,,,243071,,"Bartal, Nick","Bartal, Nick",,,1,40993,,"Administrator, System",Independent,Aqua,8/4/2021,Int- Planned Digs
CG415GE – Immediate Dig from 2022 GEO+MFL,Item,Open,MCAP,CG415BJM2203,Maintenance Framework,2051787,"Bost, Jason",West,3. Active,Defined,Pipeline Digs,-6415,,,-6414.82,-6415,0,Green,,,,-6415,,,52933,,,52933,Full,52933,45345,,45345,No,Green,12/1/2022,1/17/2023,1/17/2023,12/31/2022,12/31/2022,,,22887.77,-29302.59,,,-29303,Red,0,Other,,,,,,,,,,,,"3/1/23 - Variance is accrual from January. $30,461 accrued in January to account for reclass that didn't hit project as of 2/1. Reclass is now showing as hitting the project in January. 1/31/23 - Variance is reclass that have not hit the project yet (Degen - $30461). 1/4/23 - Immediate dig issued on 12/8 and completed on 12/11. Integrity initially entered $90k in Dec. forecast. Interim AFE for $75k was submitted on 12/10 and approved on 12/16. Accrual is for Degen and MNT.",3/2/2023,,"Griest, Barbara",,West,Pipelines and Terminals,Integrity,,Toledo,CG415BJ - CYGNET TO BELLEVUE-#1-E,,-6415,,,,51759,,"Bartal, Nick","Bartal, Nick",,,1,46347,,"Guest, ProSight",Independent,Aqua,12/9/2022,Int- Planned Digs
CL999A5-1 - DIG SHEETS (1) DOT-60 - Due 01-20-23,Item,Open,MCAP,CL999A5M2301,Maintenance Framework,2074159,"Burns, Richard",West,3. Active,Drawdown,Pipeline Digs,47537,,,47537.02,47537,0,Green,,55267,55267,-7730,,,55267,,,55267,Full,55267,47537,,47537,No,Green,1/1/2023,2/2/2023,2/2/2023,1/20/2023,1/20/2023,,,45156.43,2380.59,,,2381,Red,0,Other,,,,,,,,,,,,"3/1/23 - variance is internal labor.
2/22/23 - No supplemental is required.  Not sure why this is showing an EAC of $105,156.  Project is complete; total Is about $45K as shown in the actuals.  Closed remaining PO amounts in JDE.
2/1/23 - Variance is partially accrued. Had issues with WO in JDE new WBS system, could not charge time to it. Rest is dig completed ahead of schedule.
1/30/23 - Dig completed on 1/18/23.
1/6/23 - DOT-60 day dig issued on 11/21/22, due 1/20/23 that slipped through the cracks.  Interim AFE submitted 1/3/23, approved today.  Expected start date is 1/11/23.",3/1/2023,,"Griest, Barbara",,West,Pipelines and Terminals,Integrity,,Indianapolis,CL999A5 - CLERMONT TO BET RACEWAY,,47537,,,,,,"Bartal, Nick","Bartal, Nick",,,1,46406,,"Burns, Richard",Independent,Aqua,1/4/2023,Int- Planned Digs
CY802CA - DIG SHEETS (2),Item,Open,MCAP,CY802CAM2201,Maintenance Framework,2023219,"Keppel, Nicholas",East,6. Operational,Drawdown,Pipeline Digs,591,,,590.55,591,0,Green,,,,591,,,346000,,,346000,Full,346000,152440,,152440,No,Green,10/1/2022,9/21/2022,9/21/2022,12/31/2022,10/28/2022,,,590.55,,,,,,0,,,,,,,,,,,,,1/5/2023 -The 2 digs were completed in October; variance due to labor costs coming in slightly higher than anticipated,1/5/2023,,"Sautter, Maureen",,East,Pipelines and Terminals,Integrity,,Auburn Pipeline,CY802CA - MARCY TO UTICA,,591,,,,151850,,"Bartal, Nick","Bartal, Nick",,,1,45694,,"Guest, ProSight",Independent,Aqua,8/29/2022,Int- Planned Digs
DS302CG - DIG SHEETS (5) DOT-180 + (7) BPL-Other - Due 03-14-22,Item,Open,MCAP,DS302CGM2103,Maintenance Framework,1889087  1889090,"Bost, Jason",West,6. Operational,Defined,Pipeline Digs,8229,-416013,,-407784,-407784,0,Green,,,,-407784,,,971000,,,971000,Full,971000,709314,-416013,293301,No,Green,11/1/2021,12/7/2021,12/7/2021,3/14/2021,7/5/2022,,,5000,3229,,,3229,Red,0,Contractor/Vendor Issue,-416013,,,,,,,,,,,"3.7.23 - March forecast -$416,013 due to MEXP Flip to DS302CGE2203 (AS)

3/1/23 - Variance is caused by 3 delayed Percheron invoices. 2/14/23 - Submitted Remedy Force ticket to reopen WO's because of three delayed Percheron invoices. (BG)
1/31/23 - Job Book submitted. Variance is MJE02 Sight draft invoice. 12/5/22 - Variance is ""MJE02A - Sight Draft"" invoice. 11/1/22 - Variance is 2 Percheron Invoices. 9/12/22 - -$542,331 reclassed to DS302CGE2203 (AS)


9/1/22 - Variance is caused by savings from Roberts estimate for final dig. 8/1/22 - Digs complete. Accrual is for Roberts & MNT invoices.  7/11/22 - Variance caused by multiple Roberts invoices in June for work completed in May, Invoices were not included in May's accruals. Additional Black Diamonds needed for final dig causing a larger June variance. 7/5/22 - Digs complete. Forecast is for restoration at multiple sites. Digs to be flipped to Expense due to Black Diamonds being the determined repairs. . 6/1/22 - Remaining digs include 1 like and similar dig and 1 BPL-Other dig. Expected to be completed by end of June. 5/3/22 - Remaining digs include 2 like/similar and 3 BPL-other digs.  4/4/22 - Moved crew from 302 digs to 003L Immediate dig issued on 3/16. Crew is scheduled to mobilize back to the 302L on 4/11. 3/9/22 - Variance is due to reclass to MEXP. 3/2/22 - All DOT digs complete. Will mobilize to the additional similar characteristics digs on 3/21.  2/2/22 - 6 Dig sites complete. Will mobilize to remaining 2 DOT digs prior to moving to similar characteristics digs issued on January 7, 2022.  1/3/22 - 4 dig sites complete. Roberts will continue after immediate digs on the 003L.  12/1/21 - Mobilized on 11/10. First 2 dig sites are complete.",3/9/2023,"2/2/22 - Accrual is for Roberts, Pinpoint, and NDT invoices. 1/3/22 - Variance reflects being ahead of schedule with digs. 12/1/21 - Digs began on 11/10. Accrual is for a Roberts invoice. Dec forecast adjusted to reflect early start. 11/3/2021 - may start early in November.","Griest, Barbara",,West,Pipelines and Terminals,Integrity,,Toledo,DS302CG - TOLEDO TO CYGNET 10IN SOUTH,,-407784,,,,406477,,"Bartal, Nick","Bartal, Nick",,,1,42181,,"Schultz, Amy",Independent,Aqua,9/17/2021,Int- Planned Digs
